Date,ASPUS
2015-01-31,345233.3333333333
2015-02-01,345141.1111111111
2015-02-02,345048.8888888889
2015-02-03,344956.6666666667
2015-02-04,344864.44444444444
2015-02-05,344772.22222222225
2015-02-06,344680.0
2015-02-07,344587.77777777775
2015-02-08,344495.55555555556
2015-02-09,344403.3333333333
2015-02-10,344311.1111111111
2015-02-11,344218.8888888889
2015-02-12,344126.6666666667
2015-02-13,344034.44444444444
2015-02-14,343942.22222222225
2015-02-15,343850.0
2015-02-16,343757.77777777775
2015-02-17,343665.55555555556
2015-02-18,343573.3333333333
2015-02-19,343481.1111111111
2015-02-20,343388.8888888889
2015-02-21,343296.6666666667
2015-02-22,343204.44444444444
2015-02-23,343112.22222222225
2015-02-24,343020.0
2015-02-25,342927.77777777775
2015-02-26,342835.55555555556
2015-02-27,342743.3333333333
2015-02-28,342651.1111111111
2015-03-01,342558.8888888889
2015-03-02,342466.6666666667
2015-03-03,342374.44444444444
2015-03-04,342282.22222222225
2015-03-05,342190.0
2015-03-06,342097.77777777775
2015-03-07,342005.55555555556
2015-03-08,341913.3333333333
2015-03-09,341821.1111111111
2015-03-10,341728.8888888889
2015-03-11,341636.6666666667
2015-03-12,341544.44444444444
2015-03-13,341452.22222222225
2015-03-14,341360.0
2015-03-15,341267.77777777775
2015-03-16,341175.55555555556
2015-03-17,341083.3333333333
2015-03-18,340991.1111111111
2015-03-19,340898.8888888889
2015-03-20,340806.6666666667
2015-03-21,340714.44444444444
2015-03-22,340622.22222222225
2015-03-23,340530.0
2015-03-24,340437.77777777775
2015-03-25,340345.55555555556
2015-03-26,340253.3333333333
2015-03-27,340161.1111111111
2015-03-28,340068.8888888889
2015-03-29,339976.6666666667
2015-03-30,339884.44444444444
2015-03-31,339792.22222222225
2015-04-01,339700.0
2015-04-02,339784.6153846154
2015-04-03,339869.23076923075
2015-04-04,339953.8461538461
2015-04-05,340038.46153846156
2015-04-06,340123.07692307694
2015-04-07,340207.6923076923
2015-04-08,340292.3076923077
2015-04-09,340376.92307692306
2015-04-10,340461.53846153844
2015-04-11,340546.1538461539
2015-04-12,340630.76923076925
2015-04-13,340715.3846153846
2015-04-14,340800.0
2015-04-15,340884.6153846154
2015-04-16,340969.23076923075
2015-04-17,341053.8461538461
2015-04-18,341138.46153846156
2015-04-19,341223.07692307694
2015-04-20,341307.6923076923
2015-04-21,341392.3076923077
