Date,Market Timing
2016-04-08,12.58
2016-04-09,14.43
2016-04-10,0.0
2016-04-11,24.419999999999998
2016-04-12,24.05
2016-04-13,24.419999999999998
2016-04-14,12.209999999999999
2016-04-15,0.0
2016-04-16,15.54
2016-04-17,15.17
2016-04-18,0.0
2016-04-19,0.0
2016-04-20,12.209999999999999
2016-04-21,24.05
2016-04-22,37.0
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,0.0
2016-04-26,18.13
2016-04-27,12.209999999999999
2016-04-28,11.84
2016-04-29,25.16
2016-04-30,14.8
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,19.11
2016-05-05,19.6
2016-05-06,20.58
2016-05-07,24.5
2016-05-08,24.5
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,40.18
2016-05-12,20.58
2016-05-13,41.65
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,20.09
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,24.99
2016-05-22,49.0
2016-05-23,20.09
2016-05-24,20.09
2016-05-25,20.58
2016-05-26,20.58
2016-05-27,21.56
2016-05-28,0.0
2016-05-29,25.48
2016-05-30,0.0
2016-05-31,20.58
2016-06-01,46.06
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,23.03
2016-06-08,0.0
2016-06-09,24.009999999999998
2016-06-10,24.5
2016-06-11,0.0
2016-06-12,27.93
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,24.009999999999998
2016-06-17,24.009999999999998
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,47.04
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,28.91
2016-06-27,23.52
2016-06-28,46.55
2016-06-29,47.04
2016-06-30,49.0
2016-07-01,0.0
2016-07-02,11.040000000000001
2016-07-03,0.0
2016-07-04,22.080000000000002
2016-07-05,9.66
2016-07-06,0.0
2016-07-07,18.86
2016-07-08,0.0
2016-07-09,21.62
2016-07-10,11.040000000000001
2016-07-11,9.66
2016-07-12,46.0
2016-07-13,9.66
